volumn	time
1160	211.53
1175	74.28
1179	110.38
1165	75.16
1146	179.68
1074	227.68
1173	80.02
1074	157.12
1060	125.73
1150	3592.25
1102	117.3
1103	114.19
1097	117.97
1104	150.51
1059	83.51
1092	152.2
1035	155.04
1039	153.98
1023	155.07
1070	152.71
1111	118.1
1080	154.34
1102	190
1060	118.84
1082	152.88
1046	237.46
1014	199.49
1029	119.91
1060	120.24
1069	154.4
1037	81.89
1016	119.55
1050	202.16
1036	79.83
1038	196.06
1004	162.16
956	80.45
978	78.27
1056	120.06
1027	157.6
926	79.66
1011	159.46
1020	239.41
959	211.32
968	79.53
1003	84.91
974	208.38
990	123.75
1008	197.43
1012	117.3
911	254.98
953	205.13
983	119.54
1000	120.74
969	81.14
1105	191.27
1061	78.31
1037	119.82
989	165.71
1023	159.8
918	82.7
1076	83.91
972	123.42
932	213.24
928	168.33
1012	85.05
937	125.23
972	80.98
961	78.13
944	4359.9
960	162.15
1034	154.92
1048	214.38
982	165.48
982	225.75
945	164.45
947	78.32
956	163.93
961	120.57
966	122.99
949	81.76
888	219.05
884	126.3
977	163.93
957	204.85
962	122.44
959	120.46
940	126.54
918	82.92
985	122.92
964	81.74
915	171.14
873	216.74
908	170.57
901	302.87
981	162.94
953	77.05
996	121.09
936	122.18
941	80.03
991	163.6
897	220.52
900	130.37
866	227.18
912	123.4
975	121.16
903	123.62
887	170.26
927	85.03
871	128.32
869	171.75
832	79.37
819	179.06
875	170.31
835	224.38
876	171.61
848	134.27
857	130.45
774	81.53
816	86.02
813	133.15
859	128.81
749	86.36
786	135.89
778	135.59
791	340.1
706	145.38
756	88.67
727	84.14
775	10509.45
674	87.89
773	87.27
746	246.32
726	83.96
758	84.59
702	199.34
757	193.17
752	143.04
719	140.73
672	142.41
725	140.06
718	138.06
722	198.32
750	79.39
758	82.97
711	84.97
704	84.76
771	81.72
729	83.13
632	149.83
656	85.96
664	262.69
701	138.69
681	146.21
645	155.02
631	86.87
677	83.5
655	207.27
654	85.64
694	91.66
644	208.59
638	85.28
534	315.04
659	208.15
585	83.79
622	150.54
589	86.91
589	157.18
597	85.22
605	151.86
685	145.42
648	86.15
638	149.85
621	84.83
661	92.73
563	228.06
651	144.7
574	88.13
557	156.42
593	88.95
518	87.55
608	82.77
585	157.49
600	155.59
570	158.08
548	161.29
508	173.27
497	93.96
551	90.98
519	15660.39
524	87.54
565	156.48
578	88.21
544	160.23
541	229.25
556	231.38
551	88.85
523	85.22
552	85.72
520	86.21
533	161.77
481	169.38
478	176.95
425	187.19
477	430.97
517	166.68
503	178.56
456	91.36
464	172.66
439	97.08
464	91.41
454	87.24
437	277.56
459	86.61
471	257.89
483	91.57
459	172.73
446	91.16
426	93.19
440	90.95
434	89.08
433	181.42
427	89.76
365	203.25
412	189.07
458	178.31
436	271.75
398	97.16
390	98.33
388	197.82
380	196.49
342	88.51
349	89.14
380	307.25
398	89.99
342	326.86
350	94.99
358	90.27
327	212.17
316	97.6
335	93.46
294	225.47
299	88.44
372	195.13
337	334.76
352	91.13
338	87.66
326	89.06
335	108.09
252	90.77
300	354.99
317	467.39
303	96.94
271	90.75
278	92.82
325	219.72
288	90.58
284	89.82
270	99.97
261	84.21
278	95.73
286	91.65
254	86.86
265	95.29
275	95.35
267	91.94
240	99.61
275	96.25
288	92.94
254	98.23
231	435.86
235	432.45
220	95.43
204	100.13
233	94.66
238	261.17
202	91.98
215	89.29
238	259.8
189	94.1
214	279.68
206	92.83
172	101.58
171	326.02
182	98.63
167	331.68
167	90.6
196	95.89
198	100.86
190	93.66
163	104.81
167	97.75
159	95.72
146	100.99
134	93.12
147	90.51
161	94.94
118	773.51
149	94.79
143	91.61
149	897.62
149	94.44
146	641.95
131	102.93
136	981.58
129	97.6
148	365.57
108	105.25
130	118.98
129	92.98
86	92.79
118	95.77
121	425.88
130	95.31
129	92.82
132	405.58
122	109.4
116	109.93
80	99.71
109	465.41
118	435.23
101	105.53
133	99.63
138	103.86
114	103.98
123	94.99
139	103
122	96.39
118	96.74
121	96.16
103	98.53
96	102.43
105	100.44
104	482.08
74	95.5
121	97.17
116	792.14
98	98.78
111	103.59
80	100.14
82	114.51
107	97.44
86	99.07
91	95.74
89	96.63
119	436.72
100	96.3
103	99.36
68	98.59
84	96.52
88	557.31
105	95.36
80	94.76
91	91.21
97	108.38
77	93.34
92	99.3
100	98.67
80	99.03
97	116.3
72	93.93
76	103.03
70	106.99
64	99.56
80	101.2
76	104.61
108	108.87
82	100.3
78	118.06
73	121.53
143	106.76
105	94.7
111	90.42
122	99.12
126	102.51
108	93.59
114	98.98
90	105.48
118	110.86
134	98.09
102	112
85	109.93
83	114.33
83	580.96
68	702.09
91	113.27
124	99.29
104	100.15
118	103.23
83	102.41
80	107.43
60	133.73
94	105.96
74	107.07
52	106.77
58	100.14
64	109.3
91	551.31
83	103.99
72	664.03
59	109.73
65	114.08
72	663.39
58	110.52
46	109.5
64	106.03
50	105.62
70	101.67
81	100.51
52	118.12
55	120.33
60	789.93
81	604.23
52	120.4
60	102.3
47	99.94
43	105.21
53	103.36
40	117.75
62	117.27
78	619.01
76	112.72
63	106
44	1022.91
35	104.63
54	113.5
79	102.15
57	103.84
35	124.11
41	116.59
54	102.13
41	110.24
45	103.18
30	108.53
48	116.38
59	103.37
49	104.37
46	114.22
55	102.75
44	100.41
48	119.08
46	124.17
43	110.19
50	106.44
41	103.2
59	109.02
69	105.57
45	105.67
45	1035.33
22	102.45
51	108.8
26	106.65
28	101.64
37	124.08
31	1391.1
35	115.86
26	1638.42
34	100
28	99.5
27	104.67
27	100.63
18	101.67
38	107.97
21	92.43
25	1713.48
30	99.7
31	102.48
45	101.56
39	98.69
33	99.58
35	107.51
31	100.68
33	103.94
20	93.15
24	98.92
26	99
42	113.64
49	101.53
21	101.24
37	100.41
33	102.97
26	101.31
37	100.7
25	100.56
33	101.64
31	104.84
44	103.11
59	99.73
45	105.62
40	171.98
38	100
38	104.26
34	102
30	96.33
22	99.77
25	107.12
23	101.17
24	102.33
13	98.46
23	105.17
16	103.31
33	110.73
37	110.35
28	96.71
40	103.5
36	106.25
34	106.09
23	101.26
34	99.74
27	102
29	111.17
14	96.79
17	97.59
17	101.06
13	107.54
24	98.92
37	103.38
35	100.26
24	107.92
31	100.68
18	104.78
21	97.1
20	107.85
9	104
29	98.72
13	122.54
29	97.55
30	102.9
15	101.27
20	158.35
20	97.55
12	128
23	112.09
19	123.11
21	94.76
20	104.6
9	98.11
16	101.19
13	95
18	103.33
27	97.15
23	107.87
20	113.15
9	111.33
18	101.89
15	101.33
14	101.21
20	101.35
14	98
6	109.17
12	104.17
23	111.83
30	97.73
19	100.89
10	118
31	1397.19
35	104.97
24	112.04
25	110.12
22	102.95
16	113.63
17	109.53
14	2961.21
22	101.5
15	131.27
22	98.91
22	101.55
21	108.48
34	107.18
21	103.05
19	110.32
26	103.12
18	132.78
18	119.83
21	2014.76
25	99.16
14	109.29
12	101.08
13	115.77
14	121.86
10	4160.1
15	115
17	127.53
6	102.67
14	107.29
13	110.23
16	110.44
9	99.89
18	98.83
25	103.4
16	106.06
7	101
23	110.39
8	112.38
17	120
25	102.96
20	107.45
8	114.13
24	126.63
9	102.78
16	133.94
17	96.76
15	111.2
13	98.69
21	106.29
24	106.5
10	151.4
6	97.33
12	101.67
18	135.39
16	92.88
24	122.42
9	100.67
9	105.56
12	118.42
23	112.83
23	111.83
23	105.83
20	106.55
8	104.13
8	104.88
8	101.13
16	103.13
6	102.33
17	102.18
19	106.53
17	98.59
18	2523.44
22	274.05
17	101.06
13	123.69
16	107.63
21	2007.86
8	101.88
7	102
7	108.14
8	101.13
14	103.71
17	102
25	100.72
13	99.38
19	101.37
13	101
9	109.11
10	110.8
12	109.92
23	102.61
11	117.45
15	106.67
24	102.88
15	110.33
16	102.63
11	101
18	107.22
13	98.62
7	99
16	107.94
9	101.33
18	102.39
13	101.23
23	107.78
18	101.56
21	124.86
13	96.46
21	98.43
24	111.25
22	105.14
22	107.45
16	101.69
25	104.04
18	102.44
14	98.5
18	101.83
21	98.43
10	105
27	99.44
17	106.53
13	103.31
10	102.6
17	113.41
12	101.67
27	101.15
28	101.46
30	101.23
26	99.42
22	101.68
14	105.14
22	157.55
23	1842.04
17	101.59
29	125.21
18	101.67
20	100.95
23	99.17
16	101.63
27	100.74
27	105.7
21	102.67
11	104.55
22	98.45
16	100.94
14	135.71
35	99.94
21	106.52
30	101.6
24	117.58
23	100.7
32	116.53
34	117.32
45	105.58
24	118.75
29	104.21
24	106.04
27	108.85
34	146.12
25	104.92
24	100.75
49	120.39
39	111.77
38	116.66
46	975.22
29	115.21
50	112.6
58	792.98
44	99.23
37	1181.68
46	100.3
37	106.76
53	99.64
42	99.12
50	103.66
39	101.79
28	99.04
33	101.3
47	101.13
50	103.04
55	104.36
41	101.05
54	840.63
89	101.43
49	103.08
68	103.29
81	104.53
92	103.91
63	98.79
73	104.71
75	100.95
85	573.38
62	118.85
71	114.66
55	103.53
67	105.9
73	106.55
84	101.89
71	103.86
85	111.11
82	100.21
89	101.65
94	531.16
76	102.71
94	100.19
113	100.44
104	100.12
120	102.66
112	102.01
127	103.1
129	98.6
118	108.81
110	96.29
123	98.93
140	100.46
148	373.5
173	100.03
164	346.09
183	99.31
155	102.48
168	102.25
184	106.98
177	114.17
154	108.44
198	101.26
177	217.44
212	194.86
203	495.87
206	94.88
219	96.82
210	295.22
210	287.41
208	96.44
176	23052.84
201	104.07
216	97.1
200	93.43
214	282.8
233	95.56
285	96.69
276	243.08
278	96.15
266	99.56
272	94.2
291	103.87
281	95.45
248	92.94
266	247.7
298	229.64
342	219.98
343	94.34
322	93.18
308	230.42
339	100.07
364	93.17
380	92.29
371	96.01
362	97.31
318	220.36
364	88.59
369	91.51
375	91.82
382	200.7
440	184.74
407	193.27
408	286.65
397	100.96
444	91.25
407	94.18
482	175.39
443	275.9
515	94.2
474	175.01
534	168.03
501	89.74
547	91.14
572	298.23
524	93.01
547	168.98
493	94.17
531	167.37
548	161.03
533	92.95
548	163.5
555	156.34
533	313.15
533	164.83
600	156.72
559	163.1
524	90.14
592	160.04
564	300.54
580	158.72
561	7287.44
582	156.55
604	90.83
555	160.08
598	156.74
618	87.49
614	221.91
600	89.43
610	90.74
672	205.28
629	144.74
678	147.93
728	145.3
