volumn	rate	time
1188	94.70%	144.98
1358	95.43%	136.23
1354	95.05%	76.22
1264	94.86%	108.28
1289	95.66%	75.36
1334	95.50%	77.77
1238	95.80%	109.45
1286	95.49%	167.94
1215	96.05%	207.17
1350	96.67%	164.15
1209	95.45%	110.44
1280	95.94%	106.93
1269	95.90%	103.52
1276	94.98%	168.18
1294	95.05%	137.5
1362	94.71%	166.12
1368	95.69%	74.5
1323	96.52%	76.03
1373	96.87%	104.75
1170	94.44%	108.5
1174	95.23%	144.18
1263	95.65%	168.26
1235	95.63%	109.16
1222	94.93%	175.55
1160	96.72%	114.59
1220	96.31%	74.58
1277	95.77%	171.51
1237	94.83%	138.66
1260	95.71%	170.5
1242	95.65%	174.02
1274	95.53%	139.91
1279	95.15%	108.94
1200	95.75%	79.4
1288	96.27%	109.55
1275	95.14%	106.48
1210	95.37%	109.48
1231	95.94%	138.46
1221	95.41%	174.35
1213	95.38%	143.83
1230	95.77%	110.24
1207	95.53%	143.72
1182	95.43%	79.63
1224	96.24%	106.65
1185	95.78%	110.93
1249	96%	78.03
1156	95.33%	108.56
1151	94.61%	75.38
1263	95.72%	3276.05
1190	94.96%	112.03
1195	95.15%	76.37
1190	95.21%	110.85
1223	95.91%	141.41
1115	94.80%	184.78
1211	94.88%	111.44
1208	95.86%	80.93
1196	94.90%	144.9
1163	95.61%	76.69
1351	96.52%	78.52
1151	95.57%	112.05
1175	96.77%	113.44
1204	95.51%	177.6
1158	96.46%	78.97
1169	95.38%	112.99
1183	95.44%	142.44
1173	95.74%	145.3
1141	96.23%	182.12
1149	96.43%	113.12
1158	95.68%	145.56
1185	96.79%	111.15
1083	95.84%	75.74
1137	95.78%	147.02
1186	95.95%	77.64
1138	96.40%	113.45
1125	96%	150.25
1137	94.55%	115.71
1081	96.76%	77.05
1195	96.90%	176.66
1144	95.19%	112.03
1080	95.56%	155.03
1150	95.39%	147.21
1101	95.10%	153.87
1167	95.03%	182.62
1167	94.77%	214.64
1086	95.03%	152.65
1123	95.64%	219.35
1111	96.76%	145.16
1119	95.35%	145.31
1112	95.23%	111.93
1091	95.23%	222.62
1139	95.96%	112.26
1090	96.33%	155.44
1125	95.82%	78.07
1081	95.84%	79.3
1130	95.58%	114.16
1084	96.31%	150.16
1134	94.44%	112.01
1081	95.56%	115.53
1123	95.64%	82.71
1089	95.68%	149.38
1128	96.10%	149.52
1184	95.86%	145.29
1191	95.55%	77.29
1207	95.61%	175.17
